"","Feature","Gain","Cover","Frequency"
"1","no_blitz_grade_Good",0.11315265349003,0.0401700493444749,0.0395136778115502
"2","blitz_grade_Good",0.0366442751810646,0.0210558186860683,0.0151975683890578
"3","blitz_grade_Bad",0.0356425024302567,0.0152141712289295,0.0212765957446809
"4","no_blitz_ypa_Bad",0.0355176065625711,0.0184996758392163,0.0243161094224924
"5","no_blitz_qbr_Bad",0.0317511627117378,0.0151004898429621,0.0182370820668693
"6","no_blitz_ypa_Good",0.0283466111024437,0.00750972482351246,0.00911854103343465
"7","no_blitz_adot_Bad",0.0218862079401224,0.0163239716899582,0.0212765957446809
"8","no_blitz_grade_Bad",0.0202560780009713,0.0134594258752341,0.0151975683890578
"9","ttt_difference_diff",0.0179690316882983,0.0138049722662441,0.0121580547112462
"10","blitz_sack_pct_Bad",0.0175794885470637,0.014780831292321,0.0121580547112462
"11","no_blitz_sack_pct_Good",0.0166922578708044,0.0172109116121596,0.0151975683890578
"12","no_blitz_sack_pct_Bad",0.0162604133173029,0.00957174758680305,0.0121580547112462
"13","no_blitz_adot_Good",0.016185759746134,0.0123698854631897,0.0151975683890578
"14","ttt_difference_Bad",0.0157917446216398,0.0123113564327907,0.0151975683890578
"15","no_blitz_sack_pct_diff",0.0156760804176955,0.016648132473707,0.0121580547112462
"16","no_blitz_qbr_Good",0.0147965856000794,0.00651698242328195,0.0121580547112462
"17","ypa_difference_Bad",0.014774316071415,0.0146637732315228,0.0182370820668693
"18","no_blitz_grade_diff",0.0146813975846409,0.0176003547759689,0.0182370820668693
"19","blitz_qbr_Bad",0.0145979664924723,0.0166999081544446,0.0182370820668693
"20","no_blitz_acc_pct_Good",0.0141590430440997,0.0122730874513759,0.0121580547112462
"21","blitz_qbr_Good",0.0138208643287773,0.00843718484368247,0.00911854103343465
"22","pressure_rate_difference_diff",0.0137099289412449,0.0206483665898286,0.0151975683890578
"23","blitz_ypa_Bad",0.0137092962278136,0.011736196153292,0.0121580547112462
"24","no_blitz_twp_rate_Bad",0.0132534758035018,0.0124137822359891,0.0182370820668693
"25","btt_difference_Good",0.013225128257659,0.00728798984296211,0.0121580547112462
"26","no_blitz_btt_rate_Bad",0.013016738467377,0.00920369003025501,0.00911854103343465
"27","grade_difference_Bad",0.0127673016688089,0.0128493732891514,0.0121580547112462
"28","adot_difference_Bad",0.0127566094731921,0.0172210416366518,0.0121580547112462
"29","blitz_btt_rate_Good",0.0117493936232136,0.0116675370984008,0.0121580547112462
"30","scr_rate_difference_diff",0.01001946140743,0.0181541294482063,0.0151975683890578
"31","grade_difference_Good",0.00968033031509596,0.0120862447774096,0.0151975683890578
"32","blitz_sack_pct_Good",0.0094140318138114,0.0112026815300389,0.0121580547112462
"33","pressure_rate_difference_Good",0.0093753095313557,0.0045686410459588,0.00911854103343465
"34","acc_pct_difference_diff",0.00895236926199775,0.00950421409018873,0.00911854103343465
"35","no_blitz_scr_rate_Good",0.00884222807311919,0.00297597608413773,0.00911854103343465
"36","no_blitz_pressure_rate_diff",0.00873236741658955,0.00943893171012822,0.00911854103343465
"37","adot_difference_diff",0.00867689972282337,0.00349260733323729,0.0060790273556231
"38","btt_difference_Bad",0.00853206731946544,0.00627386183547039,0.00911854103343465
"39","blitz_pressure_rate_Bad",0.00814683908542064,0.00524960380348653,0.0060790273556231
"40","blitz_adot_Good",0.00802473751834215,0.00759976948566489,0.00911854103343465
"41","no_blitz_adot_diff",0.00791633243339105,0.013947918167411,0.0121580547112462
"42","no_blitz_pressure_rate_Bad",0.00787240018572065,0.00562779138452673,0.0060790273556231
"43","acc_pct_difference_Good",0.00775214605367862,0.0139344114680882,0.0121580547112462
"44","sack_rate_difference_Bad",0.00763044461721959,0.0044864752917447,0.00303951367781155
"45","no_blitz_scr_rate_Bad",0.0075890338538248,0.011105883518225,0.00911854103343465
"46","blitz_time_to_throw_Bad",0.00734639596892304,0.00867017540700187,0.0060790273556231
"47","blitz_qbr_diff",0.00733927518709994,0.00435140829851606,0.0060790273556231
"48","blitz_time_to_throw_Good",0.00731660552781604,0.00807250396196513,0.00911854103343465
"49","no_blitz_time_to_throw_Bad",0.00729857484845514,0.0243143098977093,0.0182370820668693
"50","ypa_difference_Good",0.00718225202730662,0.0083178756663305,0.00911854103343465
"51","ypa_difference_diff",0.00715025866321611,0.00950308853191183,0.0121580547112462
"52","no_blitz_time_to_throw_diff",0.00714791960763892,0.00914403544157902,0.00911854103343465
"53","no_blitz_qbr_diff",0.00692031913846948,0.0213957372856937,0.0182370820668693
"54","blitz_acc_pct_diff",0.00691042555065938,0.00479487825961677,0.0060790273556231
"55","grade_difference_diff",0.00666314923697873,0.0143069712577438,0.0151975683890578
"56","no_blitz_twp_rate_diff",0.0065595043836535,0.00930499027517649,0.0121580547112462
"57","blitz_twp_rate_Good",0.0064894175925299,0.011843124189598,0.00911854103343465
"58","blitz_sack_pct_diff",0.00639284942949945,0.00842142702780579,0.00911854103343465
"59","sack_rate_difference_diff",0.00623655874022029,0.0206506177063824,0.0182370820668693
"60","acc_pct_difference_Bad",0.00612029323805858,0.0145872352686933,0.0121580547112462
"61","pressure_rate_difference_Bad",0.00601434460237881,0.0169295220429333,0.0121580547112462
"62","sack_rate_difference_Good",0.00601236599504561,0.00597446333381357,0.00911854103343465
"63","blitz_ypa_diff",0.00561583214199637,0.00942655056908226,0.00911854103343465
"64","no_blitz_acc_pct_Bad",0.0055993937179518,0.0126186338423858,0.00911854103343465
"65","twp_difference_Good",0.00497816668088149,0.0167764461172742,0.0121580547112462
"66","blitz_twp_rate_diff",0.00494385961384257,0.0046114122604812,0.00911854103343465
"67","adot_difference_Good",0.00487278958163752,0.00991616841953609,0.00911854103343465
"68","blitz_btt_rate_Bad",0.00479864251190008,0.0124959479902031,0.00911854103343465
