"","Feature","Gain","Cover","Frequency"
"1","short_grade_Good",0.0626636457065075,0.0513261216372493,0.0265454545454545
"2","medium_grade_Good",0.0378912700754498,0.0324632992013459,0.0163636363636364
"3","medium_grade_Bad",0.0323443001731054,0.021173090126068,0.0138181818181818
"4","short_ypa_Bad",0.0311088444650487,0.0300915241145013,0.0161818181818182
"5","medium_qbr_Good",0.0260049321322471,0.022335081214699,0.0136363636363636
"6","behind_los_qbr_Bad",0.0235002308204171,0.0362349216833522,0.0209090909090909
"7","deep_qbr_Bad",0.0207555189729636,0.0188989788109789,0.0110909090909091
"8","medium_btt_rate_Bad",0.0204209460657411,0.0162580395985728,0.0118181818181818
"9","short_pressure_rate_Bad",0.0201855531961223,0.031599979165062,0.0187272727272727
"10","short_grade_Bad",0.0148043051180617,0.0147613596126918,0.00981818181818182
"11","short_qbr_Good",0.0141759893383802,0.00932335768324356,0.008
"12","medium_ypa_Good",0.0140954005341059,0.0208806529314924,0.0123636363636364
"13","pressure_rate_difference_Bad",0.0133405368692032,0.00813518439197168,0.0105454545454545
"14","short_acc_pct_diff",0.0131977329148836,0.03383405526024,0.0187272727272727
"15","short_adot_Bad",0.0131219987576725,0.032748948417459,0.0167272727272727
"16","medium_acc_pct_Good",0.0130508864240287,0.0100960789865798,0.00963636363636364
"17","ds_twp_difference_diff",0.0130013338232887,0.0275000401737501,0.0143636363636364
"18","deep_grade_Bad",0.0117371355003045,0.011510610580048,0.00818181818181818
"19","deep_btt_rate_Good",0.0117040607053257,0.0101578634436052,0.00854545454545455
"20","medium_btt_rate_Good",0.0108561293125173,0.00756236212784562,0.00763636363636364
"21","deep_grade_Good",0.0108160580328972,0.0129888660529595,0.00909090909090909
"22","ds_grade_difference_Good",0.0106835967080475,0.00741690544650768,0.00872727272727273
"23","short_time_to_throw_Good",0.0105027725382396,0.0314610334018411,0.0145454545454545
"24","behind_los_acc_pct_diff",0.0104966851739161,0.0225381664478813,0.0138181818181818
"25","medium_qbr_diff",0.0104790598809244,0.0139961189386816,0.01
"26","ms_qbr_difference_diff",0.0100731376589996,0.00662894582417418,0.00890909090909091
"27","medium_rate_Good",0.00970423090830936,0.0140871332621473,0.00909090909090909
"28","short_rate_Bad",0.00966763950844254,0.0117088472571857,0.0127272727272727
"29","deep_twp_rate_diff",0.00921697845014373,0.00535446823530846,0.00927272727272727
"30","deep_time_to_throw_Bad",0.00897446991242731,0.00784967370603122,0.00945454545454546
"31","medium_adot_diff",0.00873993350066896,0.00481918764798486,0.0112727272727273
"32","ds_qbr_difference_diff",0.00845886565020254,0.00853664483246438,0.00945454545454546
"33","behind_los_grade_diff",0.00795166174286606,0.00450181502232275,0.0103636363636364
"34","deep_rate_Good",0.00768668781656323,0.00643458799187216,0.00872727272727273
"35","medium_time_to_throw_diff",0.00752722866715212,0.0153146491224668,0.00945454545454546
"36","deep_pressure_rate_diff",0.00742962781034447,0.00947726470511636,0.00836363636363636
"37","medium_twp_rate_diff",0.00737719055420567,0.0114119770970836,0.00727272727272727
"38","short_pressure_rate_diff",0.00736005308187233,0.0136189012784118,0.0107272727272727
"39","deep_pressure_rate_Good",0.00721593949538755,0.00702541917844958,0.00781818181818182
"40","ttt_difference_Bad",0.00719028179178256,0.00451705334132006,0.00909090909090909
"41","deep_ypa_Bad",0.00704354755511321,0.00492945766545628,0.00709090909090909
"42","medium_pressure_rate_Bad",0.00699837148175708,0.00561864527465269,0.00909090909090909
"43","short_adot_diff",0.00688923131042707,0.0083194295216664,0.00872727272727273
"44","short_acc_pct_Bad",0.00657608578703784,0.00801868051672863,0.00690909090909091
"45","ypa_difference_diff",0.00645097295378176,0.00481004465658647,0.00836363636363636
"46","deep_rate_Bad",0.00625520373289487,0.00700547083358038,0.00763636363636364
"47","behind_los_time_to_throw_diff",0.00623305916954259,0.0155146866918496,0.00909090909090909
"48","deep_rate_diff",0.00613762717446886,0.00367922285681355,0.00727272727272727
"49","deep_pressure_rate_Bad",0.00611247946518852,0.00274677626435103,0.00690909090909091
"50","deep_time_to_throw_Good",0.00603326127066176,0.0034935924253918,0.00618181818181818
"51","deep_grade_diff",0.00599108765030661,0.00396667296517185,0.008
"52","ds_acc_pct_difference_diff",0.00595530073876984,0.00472914303572804,0.00745454545454545
"53","behind_los_pressure_rate_Good",0.00559468589988122,0.00711934263554208,0.00636363636363636
"54","ds_qbr_difference_Good",0.00557699408589066,0.00978064578333549,0.00781818181818182
"55","deep_acc_pct_diff",0.00556637220681102,0.00482652974713811,0.00618181818181818
"56","behind_los_grade_Bad",0.00553339061052338,0.00299834705797931,0.00781818181818182
"57","ds_twp_difference_Bad",0.00551152633617154,0.00592285753390803,0.00672727272727273
"58","medium_btt_rate_diff",0.00531601696293648,0.00294930737684252,0.00690909090909091
"59","deep_twp_rate_Bad",0.00529633471593291,0.00557223766679725,0.00618181818181818
"60","pressure_rate_difference_diff",0.00529307830516021,0.00697984275163036,0.006
"61","medium_acc_pct_diff",0.00525199847018749,0.00614367462919629,0.00709090909090909
"62","medium_rate_Bad",0.00522317131815727,0.00312371686427534,0.00709090909090909
"63","behind_los_adot_diff",0.0051312829521274,0.00260699932009391,0.00854545454545455
"64","ms_twp_difference_diff",0.00510875589303163,0.00901595923001605,0.00745454545454545
"65","medium_twp_rate_Bad",0.00508343425905633,0.00551571735633451,0.00490909090909091
"66","behind_los_qbr_diff",0.0050384664102852,0.00386568446927151,0.00763636363636364
"67","deep_qbr_Good",0.00490948427226164,0.00382301717607905,0.00454545454545455
"68","ds_grade_difference_Bad",0.00489098208006091,0.00269164125561532,0.00472727272727273
"69","ms_acc_pct_difference_Good",0.0048187333460197,0.00326640294215922,0.00581818181818182
"70","deep_adot_Bad",0.00477281168313458,0.00232190422467156,0.00563636363636364
"71","behind_los_grade_Good",0.00472167712989028,0.00409702985768518,0.00581818181818182
"72","behind_los_adot_Bad",0.00469110761273867,0.00260935433302986,0.00727272727272727
"73","ms_twp_difference_Good",0.00467192565908076,0.00336586760615983,0.00490909090909091
"74","behind_los_qbr_Good",0.00463618101609536,0.00307578542452017,0.006
"75","behind_los_ypa_diff",0.00456492247483938,0.00288101200170004,0.00672727272727273
"76","pressure_rate_difference_Good",0.00455249240256656,0.00419635599151309,0.00581818181818182
"77","ds_qbr_difference_Bad",0.00449388185914741,0.0032903686620368,0.00545454545454545
"78","medium_adot_Bad",0.00447454919385143,0.0036024771411362,0.00563636363636364
"79","deep_ypa_diff",0.00432112439984283,0.00257222824674551,0.00618181818181818
"80","ttt_difference_diff",0.00430053580422969,0.00194288567215671,0.006
"81","short_grade_diff",0.00428776342598353,0.00539062461038389,0.00581818181818182
"82","short_acc_pct_Good",0.00419508269784735,0.00282573846279163,0.00545454545454545
"83","deep_time_to_throw_diff",0.00410885935709085,0.00293905614406251,0.00636363636363636
"84","ttt_difference_Good",0.00409516850401136,0.00647282231953813,0.00545454545454545
"85","short_pressure_rate_Good",0.00406668781551691,0.00201893873697054,0.00490909090909091
"86","ds_twp_difference_Good",0.00398599126108302,0.00237731629375268,0.00472727272727273
"87","deep_adot_Good",0.00390047920996546,0.00234711671610347,0.00436363636363636
"88","short_qbr_diff",0.0038407828498252,0.00255768257861172,0.00618181818181818
"89","behind_los_pressure_rate_Bad",0.00382583814520976,0.00305348206671502,0.00509090909090909
"90","deep_acc_pct_Bad",0.00378423930786045,0.00310072085560668,0.00509090909090909
"91","short_qbr_Bad",0.0037584589561638,0.00251252174231061,0.00472727272727273
"92","short_time_to_throw_diff",0.00375717322998256,0.00184674573230097,0.00527272727272727
"93","deep_btt_rate_diff",0.0037460649160987,0.00238105660841565,0.00527272727272727
"94","medium_pressure_rate_diff",0.00368813690584501,0.00293115992421845,0.00454545454545455
"95","medium_time_to_throw_Bad",0.0036765293380061,0.00150374502468885,0.00454545454545455
"96","ds_acc_pct_difference_Bad",0.00365974941604169,0.00207642875864221,0.00527272727272727
"97","medium_time_to_throw_Good",0.00356551895651001,0.00311512799356777,0.00509090909090909
"98","deep_acc_pct_Good",0.00352755348226032,0.00318674809285511,0.00454545454545455
"99","short_time_to_throw_Bad",0.0035212700195756,0.00338553889068362,0.00472727272727273
"100","short_twp_rate_Bad",0.00352016826553185,0.00196255695668051,0.00418181818181818
"101","behind_los_acc_pct_Good",0.00351437885984913,0.00125065039916084,0.00509090909090909
"102","ms_acc_pct_difference_Bad",0.00348800605550631,0.0020859873405587,0.004
"103","ms_qbr_difference_Good",0.00338618319405176,0.00202378729301514,0.00381818181818182
"104","behind_los_time_to_throw_Bad",0.00336919158286699,0.0071405377519656,0.00527272727272727
"105","behind_los_ypa_Bad",0.00327280092318979,0.00229876968583019,0.00490909090909091
"106","deep_adot_diff",0.00307248506132298,0.00241721298349108,0.00381818181818182
"107","ms_twp_difference_Bad",0.00303791319740616,0.00249686783279519,0.00418181818181818
