"","Feature","Gain","Cover","Frequency"
"1","npa_qbr_Good",0.0273238038981721,0.0226176459921326,0.0189753320683112
"2","pa_adot_diff",0.023030876612546,0.0150925838287679,0.0208728652751423
"3","npa_btt_rate_diff",0.0207887129037215,0.0149413218527558,0.0180265654648956
"4","pressure_rate_difference_Good",0.0198050769831108,0.0102252211211255,0.0123339658444023
"5","npa_ypa_Bad",0.0192749992386089,0.0154012997915062,0.0142314990512334
"6","npa_twp_rate_Good",0.0191350706180875,0.0221665137829736,0.0199240986717268
"7","pa_qbr_Good",0.0191075934962195,0.0150470283213724,0.0170777988614801
"8","pa_acc_pct_Good",0.0186656511302772,0.0197445530208609,0.0189753320683112
"9","npa_scr_rate_Good",0.0185832398728269,0.014240297782641,0.0142314990512334
"10","npa_acc_pct_Bad",0.0181654996807738,0.0167670804404112,0.0142314990512334
"11","pa_pressure_rate_Bad",0.018062950777585,0.0148758634537797,0.0142314990512334
"12","sack_rate_difference_Good",0.0164238466871336,0.014214645166826,0.0142314990512334
"13","adot_difference_Good",0.0157787999031251,0.0115326199547276,0.0132827324478178
"14","npa_sack_pct_Bad",0.0154780462686745,0.00748437180724448,0.0123339658444023
"15","grade_difference_diff",0.0153671953790619,0.0110823723185276,0.0123339658444023
"16","pa_ypa_Bad",0.0153128497421136,0.0158909109243876,0.015180265654649
"17","npa_sack_pct_Good",0.0152670956490035,0.0134702770217136,0.0104364326375712
"18","qbr_difference_diff",0.0149021326579039,0.0145994344040499,0.0170777988614801
"19","pa_scr_rate_diff",0.0146653913201952,0.0153619362948246,0.015180265654649
"20","npa_time_to_throw_Good",0.0142439539089338,0.0122898144077474,0.0094876660341556
"21","npa_ypa_Good",0.0140766433451389,0.00817831929368618,0.0094876660341556
"22","npa_qbr_diff",0.0138457655450723,0.0141987228535616,0.015180265654649
"23","npa_adot_Bad",0.0132514730817472,0.0100611328372058,0.0123339658444023
"24","npa_grade_Bad",0.0130396966872276,0.0101610895815881,0.0113851992409867
"25","grade_difference_Good",0.0129027909924911,0.00360684624087452,0.00853889943074004
"26","pa_rate_Good",0.0127828673038931,0.0166228950480721,0.015180265654649
"27","pa_sack_pct_Bad",0.0124686291415179,0.010166397019343,0.0104364326375712
"28","npa_btt_rate_Good",0.0120519171463947,0.0114251443401926,0.0113851992409867
"29","scr_rate_difference_Good",0.0119555025706523,0.0132305577497879,0.0170777988614801
"30","pa_ypa_Good",0.0118875102000055,0.00929022750331936,0.0104364326375712
"31","pa_btt_rate_diff",0.0118655587987961,0.00429106342476574,0.00853889943074004
"32","npa_scr_rate_diff",0.0117593569143374,0.0147038140132279,0.0123339658444023
"33","pa_grade_Good",0.0117292469648679,0.0133822620122796,0.0123339658444023
"34","pa_adot_Good",0.0116031822461056,0.00737158875495471,0.00853889943074004
"35","pa_grade_diff",0.0114815279157391,0.00827960289750719,0.0113851992409867
"36","npa_qbr_Bad",0.0112297604249827,0.00903016305333356,0.0104364326375712
"37","ttt_difference_diff",0.0112092956866094,0.00955736853697824,0.00853889943074004
"38","ypa_difference_Good",0.0109684281557452,0.00627162228026987,0.0104364326375712
"39","pa_acc_pct_diff",0.010800061243605,0.0173557637447158,0.0142314990512334
"40","npa_adot_diff",0.0106942253275451,0.0058275666547839,0.00759013282732448
"41","npa_twp_rate_diff",0.0105773493647884,0.0167259477978114,0.0123339658444023
"42","scr_rate_difference_diff",0.0104324895546884,0.00462587428979849,0.00759013282732448
"43","pa_rate_Bad",0.0100545809341854,0.00750250555290675,0.00664136622390892
"44","npa_time_to_throw_diff",0.00990901867924676,0.00610753399635025,0.00853889943074004
"45","ypa_difference_diff",0.00980403065700453,0.00713585006134513,0.0123339658444023
"46","pa_btt_rate_Good",0.00973379622721137,0.0125379371227849,0.0113851992409867
"47","npa_acc_pct_diff",0.00968729142969351,0.0158312022496459,0.0123339658444023
"48","adot_difference_diff",0.00967569036550626,0.0157277072134271,0.0113851992409867
"49","qbr_difference_Good",0.00948070763075167,0.00943264374974016,0.00759013282732448
"50","npa_grade_Good",0.00943211761768686,0.00378552997861987,0.00664136622390892
"51","npa_acc_pct_Good",0.00928813586363525,0.00944723920356589,0.00759013282732448
"52","pa_qbr_Bad",0.0091885964807955,0.00685809415217662,0.00853889943074004
"53","ypa_difference_Bad",0.00907143029035255,0.019042644377787,0.0113851992409867
"54","pa_time_to_throw_Good",0.00873397190226443,0.00731586065852918,0.0104364326375712
"55","acc_pct_difference_diff",0.00857035252523166,0.013933350965821,0.0113851992409867
"56","btt_difference_diff",0.00838440371369844,0.010434422625961,0.00853889943074004
"57","adot_difference_Bad",0.00837014636239692,0.00644057571546472,0.0094876660341556
"58","pa_sack_pct_Good",0.00826338144963237,0.0154764884930327,0.0132827324478178
"59","npa_adot_Good",0.00789131759916135,0.00604782532160861,0.00664136622390892
"60","btt_difference_Good",0.00771433702421384,0.0117754352320102,0.0104364326375712
"61","btt_difference_Bad",0.00767140343480723,0.00596777146880686,0.00759013282732448
"62","pa_pressure_rate_Good",0.00747235080972765,0.00433617664568165,0.00569259962049336
"63","pa_sack_pct_diff",0.00745045638162063,0.0115825983269187,0.0113851992409867
"64","npa_btt_rate_Bad",0.00740155067054148,0.00952463933749024,0.0094876660341556
"65","pa_ypa_diff",0.00738509616830364,0.0084463449003042,0.0113851992409867
"66","acc_pct_difference_Good",0.00738246736233286,0.00913763866786851,0.00759013282732448
"67","pa_pressure_rate_diff",0.00727966576667826,0.0143106213328922,0.0123339658444023
"68","pressure_rate_difference_diff",0.00715368684270552,0.0132172891554009,0.0104364326375712
"69","twp_difference_Good",0.00706322428048188,0.00561261542571401,0.00664136622390892
"70","pa_twp_rate_diff",0.00698040616805345,0.00650161124964507,0.00759013282732448
"71","pa_adot_Bad",0.00665248909893374,0.00633796525220502,0.00853889943074004
"72","npa_pressure_rate_Good",0.0063950618331602,0.00934949389158143,0.00853889943074004
"73","ttt_difference_Good",0.00631371094568588,0.0092937657951559,0.00853889943074004
"74","npa_scr_rate_Bad",0.00628626063468957,0.0102561811746952,0.00664136622390892
"75","npa_grade_diff",0.00627634597433264,0.0130686808982661,0.00853889943074004
"76","npa_pressure_rate_Bad",0.00624426475552088,0.00689436164350117,0.00664136622390892
"77","pa_scr_rate_Bad",0.00619031860056099,0.00669223672233874,0.0094876660341556
"78","pa_qbr_diff",0.00602563684273686,0.00701377899298445,0.00664136622390892
"79","pa_acc_pct_Bad",0.00592381384389954,0.00239276985446121,0.00569259962049336
"80","npa_twp_rate_Bad",0.00577167957403388,0.0128214427561878,0.0094876660341556
"81","npa_time_to_throw_Bad",0.00563471221429238,0.00492751366886365,0.00569259962049336
"82","pa_time_to_throw_Bad",0.00556224544429379,0.0076236920483083,0.00759013282732448
"83","npa_pressure_rate_diff",0.0055173673964167,0.00669754416009355,0.00664136622390892
"84","sack_rate_difference_diff",0.00550489799512207,0.00665154636621851,0.00664136622390892
"85","pa_twp_rate_Good",0.00550443349676977,0.00835788760439067,0.00759013282732448
"86","pressure_rate_difference_Bad",0.00502279662985888,0.00964936412472833,0.00759013282732448
"87","npa_sack_pct_diff",0.0050091830746142,0.00744589288352209,0.00759013282732448
"88","sack_rate_difference_Bad",0.00495323247185837,0.010689179638192,0.0094876660341556
"89","npa_ypa_diff",0.00446345146753086,0.00554538788081972,0.0047438330170778
"90","ttt_difference_Bad",0.00392050048297934,0.00486647813468331,0.00569259962049336
"91","grade_difference_Bad",0.00384200595874942,0.00584968097876229,0.00379506641366224
"92","pa_btt_rate_Bad",0.00370835644438155,0.0116148852399271,0.00664136622390892
"93","twp_difference_diff",0.00325831518436864,0.00437465556940404,0.00379506641366224
"94","acc_pct_difference_Bad",0.00325036944740264,0.0045024763619991,0.00379506641366224
"95","pa_twp_rate_Bad",0.00294805743103408,0.00157321300782228,0.00379506641366224
"96","twp_difference_Bad",0.00248689066467082,0.00528930400915002,0.00379506641366224
"97","pa_time_to_throw_diff",0.0024666293537866,0.00268821722281243,0.0047438330170778
"98","pa_grade_Bad",0.00205401070850111,0.00358340505745744,0.00189753320683112
"99","pa_scr_rate_Good",0.00188596804034068,0.00425125764160465,0.00284629981024668
"100","scr_rate_difference_Bad",0.00152441187319514,0.00395315655437603,0.00284629981024668
"101","qbr_difference_Bad",0.00091290213833209,0.000864670067554837,0.00094876660341556
