"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"68","ARZ",5,2021,19683,70,"SF","ARZMurray-2021",11,15,8,"Bad"
"69","ARZ",8,2021,19715,66,"GB","ARZMurray-2021",12,15,8,"Bad"
"70","ARZ",15,2021,19823,65.2727272727273,"DET","ARZMurray-2021",13,15,8,"Bad"
"71","ARZ",13,2021,19789,63.1625,"CHI","ARZMurray-2021",14,15,8,"Bad"
"72","ARZ",28,2021,21528,60,"LA","ARZMurray-2021",15,15,8,"Bad"
"73","ARZ",2,2022,23125,73.9,"LV","ARZMurray-2022",1,10,5,"Good"
"74","ARZ",7,2022,23189,73.1,"NO","ARZMurray-2022",2,10,5,"Good"
"75","ARZ",12,2022,23268,65.5,"LAC","ARZMurray-2022",3,10,5,"Good"
"76","ARZ",3,2022,23144,62.6,"LA","ARZMurray-2022",4,10,5,"Good"
"77","ARZ",5,2022,23173,61.4,"PHI","ARZMurray-2022",5,10,5,"Good"
"78","ARZ",8,2022,23207,60,"MIN","ARZMurray-2022",6,10,5,"Bad"
"79","ARZ",4,2022,23157,57,"CAR","ARZMurray-2022",7,10,5,"Bad"
"80","ARZ",1,2022,23109,56.5065217391304,"KC","ARZMurray-2022",8,10,5,"Bad"
"81","ARZ",9,2022,23228,55.3,"SEA","ARZMurray-2022",9,10,5,"Bad"
"82","ARZ",6,2022,23184,52.7,"SEA","ARZMurray-2022",10,10,5,"Bad"
"83","ARZ",17,2023,24041,86.7,"PHI","ARZMurray-2023",1,8,4,"Good"
"84","ARZ",18,2023,24053,77.8,"SEA","ARZMurray-2023",2,8,4,"Good"
"85","ARZ",13,2023,23979,77.4,"PIT","ARZMurray-2023",3,8,4,"Good"
"86","ARZ",11,2023,23953,63.5,"HST","ARZMurray-2023",4,8,4,"Good"
"87","ARZ",10,2023,23940,60,"ATL","ARZMurray-2023",5,8,4,"Bad"
"88","ARZ",16,2023,24030,59.9,"CHI","ARZMurray-2023",6,8,4,"Bad"
"89","ARZ",12,2023,23970,57,"LA","ARZMurray-2023",7,8,4,"Bad"
"90","ARZ",15,2023,24015,43.2,"SF","ARZMurray-2023",8,8,4,"Bad"
"91","ARZ",2,2024,25909,95.5,"LA","ARZMurray-2024",1,17,9,"Good"
"92","ARZ",8,2024,26007,84.4,"MIA","ARZMurray-2024",2,17,9,"Good"
"93","ARZ",18,2024,26148,82.4,"SF","ARZMurray-2024",3,17,9,"Good"
"94","ARZ",17,2024,26138,78.3,"LA","ARZMurray-2024",4,17,9,"Good"
"95","ARZ",10,2024,26030,76.3,"NYJ","ARZMurray-2024",5,17,9,"Good"
"96","ARZ",5,2024,25968,73.8,"SF","ARZMurray-2024",6,17,9,"Good"
"97","ARZ",1,2024,25895,69.3,"BUF","ARZMurray-2024",7,17,9,"Good"
"98","ARZ",13,2024,26079,66.4,"MIN","ARZMurray-2024",8,17,9,"Good"
"99","ARZ",12,2024,26067,63.3,"SEA","ARZMurray-2024",9,17,9,"Bad"
"100","ARZ",14,2024,26096,61.8,"SEA","ARZMurray-2024",10,17,9,"Bad"
"101","ARZ",15,2024,26113,61.7853658536585,"NE","ARZMurray-2024",11,17,9,"Bad"
"102","ARZ",6,2024,25975,61.7,"GB","ARZMurray-2024",12,17,9,"Bad"
"103","ARZ",7,2024,25998,60.1,"LAC","ARZMurray-2024",13,17,9,"Bad"
"104","ARZ",9,2024,26028,59.6,"CHI","ARZMurray-2024",14,17,9,"Bad"
"105","ARZ",4,2024,25941,59.1,"WAS","ARZMurray-2024",15,17,9,"Bad"
"106","ARZ",3,2024,25925,57.8,"DET","ARZMurray-2024",16,17,9,"Bad"
"107","ARZ",16,2024,26120,53.6,"CAR","ARZMurray-2024",17,17,9,"Bad"
"108","ARZ",15,2016,4308,89.6,"NO","ARZPalmer-2016",1,15,8,"Good"
"109","ARZ",8,2016,4211,84.1,"CAR","ARZPalmer-2016",2,15,8,"Good"
"110","ARZ",13,2016,4281,82.9,"WAS","ARZPalmer-2016",3,15,8,"Good"
"111","ARZ",2,2016,4110,78.2864864864865,"TB","ARZPalmer-2016",4,15,8,"Good"
"112","ARZ",1,2016,4107,73.7,"NE","ARZPalmer-2016",5,15,8,"Good"
"113","ARZ",10,2016,4237,70.5,"SF","ARZPalmer-2016",6,15,8,"Good"
"114","ARZ",6,2016,4185,70.305,"NYJ","ARZPalmer-2016",7,15,8,"Good"
"115","ARZ",12,2016,4258,67.1,"ATL","ARZPalmer-2016",8,15,8,"Bad"
"116","ARZ",16,2016,4329,67.0344827586207,"SEA","ARZPalmer-2016",9,15,8,"Bad"
"117","ARZ",17,2016,4347,63.8888888888889,"LA","ARZPalmer-2016",10,15,8,"Bad"
"118","ARZ",11,2016,4249,58.4,"MIN","ARZPalmer-2016",11,15,8,"Bad"
"119","ARZ",7,2016,4188,57.9,"SEA","ARZPalmer-2016",12,15,8,"Bad"
"120","ARZ",14,2016,4293,50.4,"MIA","ARZPalmer-2016",13,15,8,"Bad"
"121","ARZ",4,2016,4152,49.5490566037736,"LA","ARZPalmer-2016",14,15,8,"Bad"
"122","ARZ",3,2016,4127,38.9,"BUF","ARZPalmer-2016",15,15,8,"Bad"
"123","ARZ",6,2017,8009,75.1,"TB","ARZPalmer-2017",1,7,4,"Good"
"124","ARZ",2,2017,7939,67.4,"IND","ARZPalmer-2017",2,7,4,"Good"
"125","ARZ",3,2017,7969,64.9,"DAL","ARZPalmer-2017",3,7,4,"Good"
"126","ARZ",5,2017,7987,62.2,"PHI","ARZPalmer-2017",4,7,4,"Bad"
"127","ARZ",1,2017,7923,61.7,"DET","ARZPalmer-2017",5,7,4,"Bad"
"128","ARZ",4,2017,7982,60.1,"SF","ARZPalmer-2017",6,7,4,"Bad"
"129","ARZ",7,2017,8015,45.3222222222222,"LA","ARZPalmer-2017",7,7,4,"Bad"
"130","ARZ",4,2018,9395,89.9,"SEA","ARZRosen-2018",1,13,7,"Good"
"131","ARZ",11,2018,9495,69.8,"LV","ARZRosen-2018",2,13,7,"Good"
