"","pbp_posteam","pbp_week","pbp_season","mixed_xtd"
"1","ARZ",1,2016,3.2775117130741
"2","ARZ",1,2017,3.29760301120492
"3","ARZ",1,2018,1.8035533857816
"4","ARZ",1,2019,2.8913611808362
"5","ARZ",1,2020,1.24638262449962
"6","ARZ",1,2021,3.36428606556048
"7","ARZ",1,2022,2.35206157300213
"8","ARZ",1,2023,1.02704505151433
"9","ARZ",1,2024,2.1025829638495
"10","ARZ",2,2016,4.08230321042747
"11","ARZ",2,2017,2.53858672714687
"12","ARZ",2,2018,0.168846066360433
"13","ARZ",2,2019,2.64604862236822
"14","ARZ",2,2020,2.4859112822201
"15","ARZ",2,2021,2.26925122675104
"16","ARZ",2,2022,4.2588880402749
"17","ARZ",2,2023,1.93329000612113
"18","ARZ",2,2024,2.4560386104952
"19","ARZ",3,2016,2.29013905934647
"20","ARZ",3,2017,2.77125846744807
"21","ARZ",3,2018,0.603781813956075
"22","ARZ",3,2019,2.08157378495656
"23","ARZ",3,2020,2.1822067543536
"24","ARZ",3,2021,3.43272750226408
"25","ARZ",3,2022,2.00655033468712
"26","ARZ",3,2023,1.65531654399019
"27","ARZ",3,2024,1.05753461239781
"28","ARZ",4,2016,2.49223937710033
"29","ARZ",4,2017,2.27846590627923
"30","ARZ",4,2018,2.27181862383586
"31","ARZ",4,2019,1.14540684522914
"32","ARZ",4,2020,2.98838003496171
"33","ARZ",4,2021,4.34956904967882
"34","ARZ",4,2022,2.66352309998124
"35","ARZ",4,2023,1.7307222228635
"36","ARZ",4,2024,1.44004885147453
"37","ARZ",5,2016,2.28396444421143
"38","ARZ",5,2017,0.928112818884652
"39","ARZ",5,2018,1.36153486299999
"40","ARZ",5,2019,2.63965469606526
"41","ARZ",5,2020,2.11109440539237
"42","ARZ",5,2021,2.30979371879241
"43","ARZ",5,2022,1.3128051815302
"44","ARZ",5,2023,1.64686161625707
"45","ARZ",5,2024,1.37496817751899
"46","ARZ",6,2016,3.04379433265581
"47","ARZ",6,2017,2.91659068777433
"48","ARZ",6,2018,3.15729944259052
"49","ARZ",6,2019,3.23922999980658
"50","ARZ",6,2020,3.17739482739248
"51","ARZ",6,2021,2.89407442904215
"52","ARZ",6,2022,1.95517607130364
"53","ARZ",6,2023,1.51772296132446
"54","ARZ",6,2024,1.03101407344349
"55","ARZ",7,2016,2.22787703889013
"56","ARZ",7,2017,0.526194266066928
"57","ARZ",7,2018,1.55856052389263
"58","ARZ",7,2019,0.638907833084655
"59","ARZ",7,2020,3.01856668234524
"60","ARZ",7,2021,2.46292970930616
"61","ARZ",7,2022,3.35288019323391
"62","ARZ",7,2023,0.518090489545435
"63","ARZ",7,2024,0.97185364551928
"64","ARZ",8,2016,1.58487569143134
"65","ARZ",8,2018,2.02310861911152
"66","ARZ",8,2019,1.04070222588565
"67","ARZ",8,2021,1.95635244680185
"68","ARZ",8,2022,1.77309780284914
"69","ARZ",8,2023,3.16898507993574
"70","ARZ",8,2024,2.24400823556902
"71","ARZ",9,2017,2.69641245801096
"72","ARZ",9,2019,1.35205076001941
"73","ARZ",9,2020,1.93029007090655
"74","ARZ",9,2021,1.80230734610499
"75","ARZ",9,2022,1.05361469959429
"76","ARZ",9,2023,0.222972531591351
"77","ARZ",9,2024,2.96759757546915
"78","ARZ",10,2016,2.61850365197768
"79","ARZ",10,2017,2.39397039742323
"80","ARZ",10,2018,1.83263136856204
"81","ARZ",10,2019,1.70352508318578
"82","ARZ",10,2020,3.19063350338558
"83","ARZ",10,2021,0.798101270622404
"84","ARZ",10,2022,2.37714905171835
"85","ARZ",10,2023,2.35791214425791
"86","ARZ",10,2024,3.04396877109346
"87","ARZ",11,2016,2.97944234369964
"88","ARZ",11,2017,0.921136193450584
"89","ARZ",11,2018,1.1066488861266
"90","ARZ",11,2019,2.36689146293472
"91","ARZ",11,2020,2.78362817505526
"92","ARZ",11,2021,3.48300655768301
"93","ARZ",11,2022,1.88814129027659
"94","ARZ",11,2023,1.66411650701498
"95","ARZ",12,2016,2.87606488971141
"96","ARZ",12,2017,1.08721276681849
"97","ARZ",12,2018,0.944818416635603
"98","ARZ",12,2020,3.94911154573484
"99","ARZ",12,2022,1.82794249497196
"100","ARZ",12,2023,2.43879677403863
"101","ARZ",12,2024,1.36654944303081
"102","ARZ",13,2016,3.07744100455534
"103","ARZ",13,2017,2.08824636450228
"104","ARZ",13,2018,1.56648513047094
"105","ARZ",13,2019,0.631413394897973
"106","ARZ",13,2020,2.74209193397046
"107","ARZ",13,2021,3.31788509436536
"108","ARZ",13,2023,2.73418941308052
"109","ARZ",13,2024,1.41845702784531
"110","ARZ",14,2016,1.98197995036528
"111","ARZ",14,2017,1.69514512561211
"112","ARZ",14,2018,1.16859342584395
"113","ARZ",14,2019,2.8822551819417
"114","ARZ",14,2020,3.78462216616968
"115","ARZ",14,2021,3.46866075429633
"116","ARZ",14,2022,1.71256492080907
"117","ARZ",14,2024,3.00166462490935
"118","ARZ",15,2016,1.76094323473764
"119","ARZ",15,2017,2.53877166365174
"120","ARZ",15,2018,2.5108730667862
"121","ARZ",15,2019,3.15033139362017
"122","ARZ",15,2020,2.69611752583984
"123","ARZ",15,2021,3.27770386000652
"124","ARZ",15,2022,1.1859338552177
"125","ARZ",15,2023,2.65305505088087
"126","ARZ",15,2024,3.25103330068817
"127","ARZ",16,2016,3.21814159097421
"128","ARZ",16,2017,2.08247878260564
"129","ARZ",16,2018,0.898558369518528
"130","ARZ",16,2019,1.99430131915759
"131","ARZ",16,2020,3.37094979735297
"132","ARZ",16,2021,2.27879898025163
"133","ARZ",16,2022,0.99642741049378
"134","ARZ",16,2023,0.513782449443419
"135","ARZ",16,2024,1.78512269686167
"136","ARZ",17,2016,4.34727288120448
"137","ARZ",17,2017,1.46885267556414
"138","ARZ",17,2018,1.67554875463258
"139","ARZ",17,2019,3.04995061883786
"140","ARZ",17,2020,1.06615205709945
"141","ARZ",17,2021,3.37068244788426
"142","ARZ",17,2022,1.74641424585291
"143","ARZ",17,2023,3.76806478423303
"144","ARZ",17,2024,3.06543594171554
"145","ARZ",18,2021,2.66994908234221
"146","ARZ",18,2022,1.10377690544513
"147","ARZ",18,2023,2.08420909744449
"148","ARZ",18,2024,2.77077752599748
"149","ARZ",28,2021,0.99884541196248
"150","ATL",1,2016,2.27975923708055
"151","ATL",1,2017,1.16907417773785
"152","ATL",1,2018,3.80890883965296
"153","ATL",1,2019,1.97247233665015
"154","ATL",1,2020,3.07272349053168
"155","ATL",1,2021,1.68226944459504
"156","ATL",1,2022,2.07007211999035
"157","ATL",1,2023,1.73065298767118
"158","ATL",1,2024,0.808816949783758
"159","ATL",2,2016,2.71345370305196
"160","ATL",2,2017,2.76572516250888
"161","ATL",2,2018,2.84104324456979
"162","ATL",2,2019,2.03796460679651
"163","ATL",2,2020,4.00950737437156
"164","ATL",2,2021,2.0183173910853
"165","ATL",2,2022,2.16984066319801
"166","ATL",2,2023,3.63705624934423
"167","ATL",2,2024,2.19814118711605
"168","ATL",3,2016,4.10006376283021
"169","ATL",3,2017,3.25972980137556
"170","ATL",3,2018,2.66510342636445
"171","ATL",3,2019,1.86547030576636
"172","ATL",3,2020,2.9525605876352
"173","ATL",3,2021,2.78974039024557
"174","ATL",3,2022,1.74333278437594
"175","ATL",3,2023,1.07332208522156
"176","ATL",3,2024,2.55582069540452
"177","ATL",4,2016,2.10134821413763
"178","ATL",4,2017,3.54226173243357
"179","ATL",4,2018,2.53172516043479
"180","ATL",4,2019,1.4997001093874
"181","ATL",4,2020,2.85900834146707
"182","ATL",4,2021,2.70357369911414
"183","ATL",4,2022,2.38630130071784
"184","ATL",4,2023,1.18948311262428
"185","ATL",4,2024,0.685481317196085
"186","ATL",5,2016,2.89581410808264
"187","ATL",5,2018,1.06177371627596
"188","ATL",5,2019,2.70583347685861
"189","ATL",5,2020,1.41086701959989
"190","ATL",5,2021,2.42586995346838
"191","ATL",5,2022,0.911691094932425
"192","ATL",5,2023,1.75322396883946
"193","ATL",5,2024,1.55527732254185
"194","ATL",6,2016,1.3421792664663
"195","ATL",6,2017,1.08341519521553
"196","ATL",6,2018,1.91116874207616
"197","ATL",6,2019,2.3072815661638
"198","ATL",6,2020,2.42128169824099
"199","ATL",6,2022,2.41515218349617
"200","ATL",6,2023,2.75071168503674
"201","ATL",6,2024,3.67382392892568
"202","ATL",7,2016,1.76076163372043
"203","ATL",7,2017,3.00024677885266
"204","ATL",7,2018,0.873334996038478
"205","ATL",7,2019,0.825868569210223
"206","ATL",7,2020,3.3434849550309
"207","ATL",7,2021,1.94082248292318
"208","ATL",7,2022,1.80063591456945
"209","ATL",7,2023,3.74145232660978
"210","ATL",7,2024,1.70660896636658
"211","ATL",8,2016,2.91937578437452
"212","ATL",8,2017,2.99970397142378
"213","ATL",8,2019,1.88796936930958
"214","ATL",8,2020,2.69325736201806
"215","ATL",8,2021,0.736445645367099
"216","ATL",8,2022,1.89570552283967
"217","ATL",8,2023,1.59555821358357
"218","ATL",8,2024,1.19598616430952
"219","ATL",9,2016,5.0012332096512
"220","ATL",9,2017,1.39439417943718
"221","ATL",9,2018,1.07658972285923
"222","ATL",9,2020,2.12760900303222
"223","ATL",9,2021,2.66653291572987
"224","ATL",9,2022,3.54373942058068
"225","ATL",9,2023,2.38404345126852
"226","ATL",9,2024,1.39479260949774
"227","ATL",10,2016,0.689766456027846
"228","ATL",10,2017,3.30254120729332
"229","ATL",10,2018,4.55326444847017
"230","ATL",10,2019,2.05819607275277
"231","ATL",10,2021,0.642265804876108
"232","ATL",10,2022,1.31081980389232
"233","ATL",10,2023,1.96906860676175
"234","ATL",10,2024,2.91486302103763
"235","ATL",11,2017,3.2085214569906
"236","ATL",11,2018,1.60028644282663
"237","ATL",11,2019,3.26266266226829
"238","ATL",11,2020,0.876525277005571
"239","ATL",11,2021,0.49812286938605
"240","ATL",11,2022,1.24080480564018
"241","ATL",11,2024,0.420666513538935
"242","ATL",12,2016,2.8745802707951
"243","ATL",12,2017,1.86551514963947
"244","ATL",12,2018,3.19889912140191
"245","ATL",12,2019,3.12977207156786
"246","ATL",12,2020,4.07795840530945
"247","ATL",12,2021,1.0079838623198
"248","ATL",12,2022,2.04209855630643
"249","ATL",12,2023,1.17973751263984
"250","ATL",13,2016,4.90172087379595
"251","ATL",13,2017,0.789140790326314
"252","ATL",13,2018,1.0395802842857
"253","ATL",13,2019,2.00019594129973
"254","ATL",13,2020,1.84939227107049
"255","ATL",13,2021,2.21852910420561
"256","ATL",13,2022,1.43300971167334
"257","ATL",13,2023,1.17275636943507
"258","ATL",13,2024,2.98184878285169
"259","ATL",14,2016,1.53172002456008
"260","ATL",14,2017,3.59443381715422
"261","ATL",14,2018,1.62301740668165
"262","ATL",14,2019,2.07590287125685
"263","ATL",14,2020,1.4774095079516
"264","ATL",14,2021,2.26115454336746
"265","ATL",14,2023,2.73841765328606
"266","ATL",14,2024,2.54674551481977
"267","ATL",15,2016,3.45084185989885
"268","ATL",15,2017,3.16601379701129
"269","ATL",15,2018,3.16283975676969
"270","ATL",15,2019,2.78745834838392
"271","ATL",15,2020,2.1702465905472
"272","ATL",15,2021,4.55992723004893
"273","ATL",15,2022,2.08879592013329
"274","ATL",15,2023,1.19797450239331
"275","ATL",15,2024,0.611849281965206
"276","ATL",16,2016,2.65036243904485
"277","ATL",16,2017,2.52739829284491
"278","ATL",16,2018,1.92209336835755
"279","ATL",16,2019,1.81939152541897
"280","ATL",16,2020,1.84594776994762
"281","ATL",16,2021,1.11634441327735
"282","ATL",16,2022,3.20333452629293
"283","ATL",16,2023,2.47438021393583
"284","ATL",16,2024,2.66158965001403
"285","ATL",17,2016,3.67329669355123
"286","ATL",17,2017,1.33944860519438
"287","ATL",17,2018,2.1165812872408
"288","ATL",17,2019,2.50503099083529
"289","ATL",17,2020,4.87713062677144
"290","ATL",17,2021,2.26955265881992
"291","ATL",17,2022,2.41850894341698
"292","ATL",17,2023,0.852412238434029
"293","ATL",17,2024,3.20247287972987
"294","ATL",18,2021,2.12443991995027
"295","ATL",18,2022,3.81804185372654
