"","posteam","defteam","week","season","before_old_xtd","before_new_xtd","after_old_xtd","after_new_xtd","actual_td","actual_fg"
"1","ARZ","ATL",6,2019,3.52811821509385,3.02712344459739,4.06842721672729,3.35906173699613,4,0
"2","ARZ","ATL",10,2023,2.17176873108838,2.01328829843933,2.79677294066641,2.55999288340899,2,0
"3","ARZ","ATL",12,2016,3.41255869111046,2.62288327123475,3.73067808017367,2.98482383048003,2,0
"4","ARZ","ATL",15,2018,2.58073387935292,2.1714491104714,2.88988187734503,2.44650495847582,3,0
"5","ARZ","ATL",17,2022,1.61387780448422,1.53649313203495,2.15151956491172,2.00050619732185,1,0
"6","ARZ","BLT",2,2019,3.1957621765323,2.79074095172421,2.87419240776217,2.56037919875225,1,0
"7","ARZ","BLT",8,2023,3.68517487449571,2.79856741201543,3.80254443641752,3.04963679997164,3,0
"8","ARZ","BUF",3,2016,2.16869278496597,1.96476769069693,3.0037063898053,2.64515837663256,3,0
"9","ARZ","BUF",10,2020,3.71543636720162,3.13329748218493,3.86851714621298,3.18805746444157,3,0
"10","ARZ","CAR",3,2019,2.5979983592697,2.29811531566548,2.12324345449451,1.90920563546012,2,0
"11","ARZ","CAR",4,2020,3.6333699838724,2.88929174948358,3.58807424968109,2.83030816597183,3,0
"12","ARZ","CAR",4,2022,2.5818973913556,2.30402558738232,3.66688679449726,3.13072903937614,4,0
"13","ARZ","CAR",8,2016,1.75294418103294,1.61935185451308,1.88585998117924,1.77942014301411,4,0
"14","ARZ","CAR",10,2021,0.652667534770444,0.632260820917745,0.93015382415615,0.881054193472781,1,0
"15","ARZ","CHI",3,2018,0.605666673392989,0.60016159649428,0.772926826495677,0.768865250220974,2,0
"16","ARZ","CHI",13,2021,3.70928403793368,2.87290942851234,3.95872514764778,3.10236412523276,4,0
"17","ARZ","CIN",5,2019,2.71007836423814,2.50762552802425,3.31233595556114,3.00344935673067,2,0
"18","ARZ","CIN",5,2023,1.66035048302729,1.43018244823946,1.9180792265106,1.72691060801041,4,0
"19","ARZ","CLV",6,2021,2.94950489338953,2.76527038860089,3.77471971308114,3.39585202282941,4,0
"20","ARZ","CLV",9,2023,0.229709096631268,0.22870665128137,0.272337748552673,0.270976558080178,0,0
"21","ARZ","CLV",15,2019,3.85836546774954,3.50311473806473,3.4611254548654,3.13489266247031,5,0
"22","ARZ","DAL",3,2017,2.92752080684295,2.5318204696455,3.37249549641274,3.00386177079615,2,0
"23","ARZ","DAL",3,2023,1.88637728290632,1.6373983927803,1.99772281199694,1.77463972810232,3,0
"24","ARZ","DAL",6,2020,2.99202575813979,2.78027841894031,3.58208193792962,3.22904929600002,5,0
"25","ARZ","DAL",17,2021,3.74034606572241,3.04397064065693,3.97413361445069,3.3267020123472,2,0
"26","ARZ","DEN",7,2018,1.41147729265504,1.23794687435322,2.00812742946437,1.73586803259089,3,0
"27","ARZ","DEN",15,2022,1.06415515736444,1.01266735261249,1.44445039628772,1.34704837107285,1,0
